"id","application_id","bank_code","change_type","channel_fee"
4634,1358710927566548994,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4636,1358710933978959873,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4638,1358710940103323650,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4640,1358710947023245314,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4642,1358710953533485057,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4644,1358710960751202306,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4646,1358710967169167361,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4648,1358710973451554818,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4650,1358710979882102786,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4652,1358710986374205442,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4654,1358710992762810370,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4656,1358710999372353537,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4658,1358711005844844546,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4660,1358711013981114370,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4662,1358711020210335746,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4665,1358711026471751682,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4667,1358711032860356610,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4669,1358711039054663681,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4672,1358711051289448449,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4673,1358711057493504001,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4678,1358711063960440834,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4680,1358711071816372226,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4685,1358711091962294274,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4687,1358711098584420354,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4689,1358711104662646786,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4691,1358711116205371394,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4692,1358711122336763905,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4693,1358711128725368834,"014","DISBURSEMENT_FEE_OUTGOING",0.0000
4695,1358742575107887106,8888,"DISBURSEMENT_FEE_OUTGOING",5500.0000
4952,1347078713180459009,"","DISBURSEMENT_FEE_OUTGOING",0.0000
4961,1362644323761475586,"002","DISBURSEMENT_FEE_OUTGOING",0.0000
4963,1362977377815384066,"002","DISBURSEMENT_FEE_OUTGOING",0.0000
